,Gene,Counts,LogFC_Chamb,Adj.P.Val_Chamb,LogFC_Mann_,Adj.P.Val_Mann_,LogFC_Redmo,Adj.P.Val_Redmo,LogFC_Kotov,Adj.P.Val_Kotov,LogFC_Kowal,Adj.P.Val_Kowal,LogFC_Herau,Adj.P.Val_Herau,LogFC_Itoka,Adj.P.Val_Itoka,LogFC_Kim_v,Adj.P.Val_Kim_v,LogFC_Nordd,Adj.P.Val_Nordd,LogFC_Manse,Adj.P.Val_Manse,LogFC_Ali_D,Adj.P.Val_Ali_D,LogFC_Marya,Adj.P.Val_Marya,LogFC_Wahle,Adj.P.Val_Wahle,LogFC_Flach,Adj.P.Val_Flach,LogFC_Young,Adj.P.Val_Young,LogFC_Lazar,Adj.P.Val_Lazar,LogFC_Berse,Adj.P.Val_Berse,LogFC_Grove,Adj.P.Val_Grove,LogFC_Sun_G,Adj.P.Val_Sun_G,LogFC_Kong_,Adj.P.Val_Kong_,LogFC_Kirsc,Adj.P.Val_Kirsc,LogFC_Meng_,Adj.P.Val_Meng_
0,Selp,22,4.7429681654,0.0118346131,1.0756210292,1.0138465477459499e-11,2.01532303295042,2.43608052558124e-22,2.76830327042163,1.3815115288153199e-71,0.9934946774,6.80937899119012e-25,0.527555894066001,0.0,3.54770884446055,4.1393685679970696e-135,3.00229328346502,1.26586633811571e-53,2.9986229122,0.0019019739,3.23815970831211,6.175492057576119e-11,3.00189164075073,1.6781516718299e-08,4.0901712015,1.50545834225463e-85,3.3337831694,0.0001410253,1.68225646321666,0.0325326691947795,2.51666684536368,1.77870995693455e-15,2.1541820757,1.16798347175903e-14,3.2736876585,0.0002836486,1.0473936587,5.7804244474636e-09,2.495543057,1.3045765712235801e-61,3.28320369989369,7.19656170541542e-16,0.6174698018,0.0151205855,2.89814514652102,2.82438309956421e-10
18,Nupr1,21,0.8449945789,0.0266652464,0.7895693049,7.16734207586951e-13,1.93621450755342,2.49290528394916e-23,2.56359810960952,4.33199598184673e-62,2.1960100405,3.24928037132545e-26,1.029922140327,0.0,3.06939612337466,7.62032461728027e-48,3.52253356358009,3.89868508115107e-75,3.023908834,0.0005686108,3.95949284358726,2.62864797008791e-14,3.59456950369054,2.75065720767048e-07,2.7460077953,3.7955299863574795e-30,3.401097695,0.0001410253,,,1.06499392921752,0.0001013930405505,1.579603557,4.572833745424261e-09,1.5240129539,0.002765425,1.2028295946,1.14485894294838e-11,1.6424933141,5.0550049834532e-27,3.19444900619426,3.02453971922316e-12,0.9233877022,5.45927907029005e-05,4.52027394820301,1.0984668426016099e-48
22,Mt1,20,5.5764220209,0.0104845511,0.2850472766,0.0002289392,1.8458894462638,2.1317613790043e-24,1.68223479515813,2.3867992998657e-27,1.3098157647,1.85754027983009e-28,0.693361157996487,0.0,3.23860510220826,7.32680932450602e-49,0.496037441588952,0.0006791766908306,2.9189320377,0.00500271,3.82895602530981,5.93274276165416e-14,3.81892096087724,2.9099172066166e-08,3.7129013675,1.7490035388349598e-56,2.713056669,0.0004607708,,,,,1.7426641458,2.10758775029501e-09,2.3802924819,4.83333501997827e-05,0.774329851,5.04893557148939e-12,1.5082730515,7.118292844175469e-18,3.61647928965064,4.80071225166722e-10,0.5880963502,2.03027073478593e-06,3.46748633738556,4.590178525263691e-09
23,Plscr2,20,4.3862251479,0.0214510688,0.5084649113,7.21170904977577e-06,3.26033895167605,2.16577337685543e-28,2.30857987956311,5.72966340055559e-20,0.7703929911,4.99358877773294e-22,0.416579664068854,0.0,3.98543226082413,4.1710413775511997e-78,4.05542490921978,7.657583496801839e-28,4.1789856596,0.0003568728,3.95124899898971,1.6629378113906002e-16,3.36566055191201,3.59590458279433e-08,5.0401785534,2.11274856713173e-121,4.1244473904,0.0001441584,,,1.5839794893703,4.56373731645735e-06,1.4685735488,7.27163772975739e-08,3.5091365035,3.32130939006877e-05,0.9726853205,1.9388569249327902e-09,3.0169978702,4.4196807701624696e-69,5.05846685066942,3.34959301702342e-16,,,6.68557756009939,4.31014855916789e-13
24,Clec1a,20,,,0.8676996916,1.95695667472507e-09,1.38669744463248,5.25012012586021e-05,1.37427287459393,7.64678426236982e-13,0.6881832721,2.72887815577574e-18,0.435639188564603,7.55550344892189e-273,1.15308432618271,5.3727557237441894e-11,2.22024837162243,1.44856923596663e-15,3.0840936321,0.0003568728,1.50682613929368,0.0004683345979045,2.54107379452074,1.16254060536948e-06,1.9901380097,2.64773287678604e-24,2.1808453043,0.0012899569,1.24548515151666,0.0176490358876255,1.5787070089467,5.275146351697071e-09,0.9693890567,2.97031023638933e-05,1.9839574767,0.0033645612,1.0042823254,5.01419755437447e-05,1.472334955,5.60936682289135e-26,1.59059975850374,3.47728389332596e-06,,,2.21457766073405,2.27383177666561e-05
28,Aldh1a1,17,4.1151932965,0.0206396203,0.6818649731,1.14290100208275e-05,1.14441173798355,4.9004193520302695e-11,1.38645683753371,7.29787506858977e-17,0.5733065936,3.90300065086993e-06,0.53116572515715,0.0,1.83495709868323,6.64266109102732e-45,1.81120402172887,3.00197867921544e-51,1.7211111933,0.0018015567,1.34001315917357,0.0004745032312123,2.5887802425232,3.81108854048181e-08,,,1.9664474668,0.0012899569,,,1.82955539148008,7.13190955180981e-13,,,1.7955118414,1.63031200790492e-05,1.1539389066,1.60883603861359e-08,,,2.35006016787539,2.01928616727899e-19,,,2.21675804572135,0.0011160591549606
29,Clca3a1,17,,,,,3.02269202484192,3.95593323507432e-14,2.65966421288677,1.0018063783243e-73,,,0.391373455648038,0.0,2.95872793134566,2.1579334403406602e-46,2.99071031658903,1.71710932053671e-27,3.22677464,0.0003568728,3.02109605423532,2.9598647847683996e-13,4.16565773975301,5.3708231137287595e-12,5.157997043,1.53031452037288e-53,3.0360838923,0.0002164155,1.72614294110833,0.0439753053103583,3.00889967897447,4.8313660676155397e-26,1.5343621813,1.1912694417139299e-11,2.7016208648,1.63031200790492e-05,,,2.5671775374,3.76673095446021e-57,2.08264088460148,6.41301063097467e-05,0.720137035,0.0003129767,,
35,Sbspon,17,,,0.6066761611,0.0002766336,3.38716068880259,3.68305795045429e-05,4.44598128624323,4.2540057131092995e-81,,,0.259140626537686,3.14410015059998e-220,4.01484984242084,1.57549405183054e-59,3.49912969251114,1.043932672174e-10,5.4550013419,0.0011373773,4.38646959573339,6.21834520846022e-09,3.06626705764619,2.76927720233141e-05,4.6739313739,7.23121573282969e-31,6.7243328502,9.42524340377803e-07,0.977520269591664,0.0391892805277173,3.29772276542248,2.90635910468329e-05,2.4668756145,1.42620808183184e-10,2.2536011791,0.0286638628,,,3.8809869339,1.92366771826558e-57,,,,,5.53249319321991,7.67888521572365e-05
39,Tm4sf1,17,3.9126206755,0.0283169787,0.4049255222,0.0035282078,2.30267996044127,2.99885304930987e-06,2.0838312230614,2.01310957528242e-26,0.2751157552,7.25189550353797e-07,0.267654935202198,5.16603205191685e-225,2.22231303791238,7.01137103822975e-22,3.2662201492291,7.59990781808891e-09,3.3329366197,0.001920659,2.12111841673851,0.000275976675238,6.20053660821117,2.76442834243467e-10,4.2294468274,1.12168823423024e-29,3.497414034,0.0027596913,,,,,1.4182466444,2.36048494139598e-05,,,,,2.6214102234,8.534000585110831e-31,4.15821720771884,7.60191754639376e-05,,,5.18083995374536,0.0001396853011391
40,Gstm2,17,4.4909038524,0.0122078102,,,1.88819421949607,3.09920273029175e-13,2.62608900987857,1.8450761083680701e-53,0.4000135468,0.0017137519,0.287608621963375,6.70326486139279e-228,2.09894129982819,1.33744513349043e-21,2.18314608438172,1.62331358747897e-07,2.5345589875,0.007910223,3.54843058363856,7.81501862039713e-15,,,3.3495958595,1.5734223362745501e-24,2.9698361658,0.000680918,,,,,1.7455580674,2.37771546693247e-06,1.972984103,0.0010331494,0.3725925161,0.0015953245,2.5601997337,9.3036086516915e-56,2.98727887110327,0.0007205554481466,,,2.13923895879111,1.27110318412109e-06
