ID,LogFC_x_Cha,LogFC_x_Man,LogFC_x_Kow,LogFC_x_Nor,LogFC_x_Mar,LogFC_x_Wah,LogFC_x_Fla,LogFC_x_Laz,LogFC_x_Ber,LogFC_x_Gro,LogFC_x_Sun,LogFC_x_Kir,Mean,Stdev,Gene,Counts
0,4.7429681654,1.0756210292,0.9934946774,2.9986229122,4.0901712015,3.3337831694,1.68225646321666,2.1541820757,3.2736876585,1.0473936587,2.495543057,0.6174698018,2.3754328225013883,1.3367692361564458,Selp,12
18,5.5764220209,0.2850472766,1.3098157647,2.9189320377,3.7129013675,2.713056669,,1.7426641458,2.3802924819,0.774329851,1.5082730515,0.5880963502,2.1372573651636366,1.5568003051265102,Mt1,11
19,0.8449945789,0.7895693049,2.1960100405,3.023908834,2.7460077953,3.401097695,,1.579603557,1.5240129539,1.2028295946,1.6424933141,0.9233877022,1.806719579127273,0.9121591768500888,Nupr1,11
23,,0.8676996916,0.6881832721,3.0840936321,1.9901380097,2.1808453043,1.24548515151666,0.9693890567,1.9839574767,1.0042823254,1.472334955,,1.5486408875116662,0.7509527977953007,Clec1a,10
27,4.3862251479,0.5084649113,0.7703929911,4.1789856596,5.0401785534,4.1244473904,,1.4685735488,3.5091365035,0.9726853205,3.0169978702,,2.79760878967,1.7069267703440059,Plscr2,10
28,4.4909038524,,0.4000135468,2.5345589875,3.3495958595,2.9698361658,,1.7455580674,1.972984103,0.3725925161,2.5601997337,,2.2662492035777775,1.3323876503438243,Gstm2,9
29,,0.5188731381,,1.6329878179,2.0552694542,1.5307195645,1.349370160825,1.1363894196,0.9727978893,0.6499532281,1.457893731,,1.2560282670583334,0.48875609963624733,Itgb3,9
30,3.1242166676,0.5788828157,0.8920841637,2.4251415919,1.7128052309,,,1.4588786309,1.3100872998,0.7205668662,1.7654551074,,1.5542353748999997,0.8251165287171157,Enpp5,9
31,,0.6066761611,,5.4550013419,4.6739313739,6.7243328502,0.977520269591664,2.4668756145,2.2536011791,,3.8809869339,,3.3798657155239584,2.1706234576206103,Sbspon,8
35,,,,1.6610936949,1.4742605156,1.6536906439,1.50739941753333,1.7673362361,1.6456271075,1.2754003542,1.643495935,,1.5785379880916663,0.15336955473346478,Klhl4,8
36,1.9703424874,,0.451518039,1.1289653595,1.4923281017,1.3825782391,,,1.1091491177,0.9138874989,1.0981558009,,1.193365580525,0.4436252616212915,Fhl1,8
37,,0.2539600556,,2.6576052409,2.0216007008,2.4688682087,1.133472412975,0.9918921543,1.502226385,,2.2218649236,,1.656436260234375,0.8299113451104823,Ptprk,8
43,,,,3.22677464,5.157997043,3.0360838923,1.72614294110833,1.5343621813,2.7016208648,,2.5671775374,0.720137035,2.5837870168635413,1.3399765774765746,Clca3a1,8
49,,0.7578124998,0.284538469,2.0451373951,1.8176362948,2.089372431,,0.9396538605,1.2705966495,,1.771409558,,1.3720196447125002,0.6636330254481594,Vwf,8
50,3.0408304649,,0.2640402358,2.2115480237,5.5227122555,3.3282775454,,2.0554980914,5.0010008487,,1.8016945731,,2.9032002548125,1.7253449084010763,Mt2,8
51,3.9126206755,0.4049255222,0.2751157552,3.3329366197,4.2294468274,3.497414034,,1.4182466444,,,2.6214102234,,2.461514537725,1.566963868570836,Tm4sf1,8
52,2.686629888,,,3.3960657234,3.3173993219,3.0211295632,1.448517502825,1.0466777286,2.1428738385,,3.1888756723,,2.531021154840625,0.8935989453549876,Trpc1,8
53,2.6458883961,,,4.3340372357,10.4582497573,3.5699097882,1.272623946125,2.5999806084,2.5450903648,,3.5409096847,,3.8708362226656257,2.8140428664088817,Zg16,8
71,,0.4866814687,0.2901684407,4.1941053746,,3.9158452287,1.969398928475,,1.8049427123,0.6598183825,,0.6606287499,1.7476986607343752,1.5500210335769324,Gpr183,8
75,1.8825587684,,,1.1801843295,1.2159614139,1.1504111674,,0.9580077457,0.8792661638,0.5879007042,1.1656259867,,1.1274895349499998,0.3711388606840991,Pbx3,8
79,,0.3940426148,0.2652300023,2.7694661174,1.9330915802,2.6790982474,,1.2545003703,1.2605053759,,2.0358914966,,1.5739782256125,0.9485484488381352,Cd38,8
80,2.3367244625,0.3187260456,,1.9245801773,1.2063203063,1.6631814685,1.30371439937916,1.2382464975,,,1.4538826547,,1.430672001472395,0.5927392867237237,Alcam,8
104,4.3419325384,,,2.1909954301,1.2585242198,2.4010622502,,1.1110015858,1.25983476,0.4451011839,1.766811928,,1.8469079870250003,1.186502482243335,Neo1,8
108,,,0.3214593924,2.4719436268,4.0192296036,2.4453086618,,1.3004474734,1.6795845975,,1.6468635908,,1.9835481351857145,1.1569116790483844,Gm10419,7
109,,,,4.3910289081,4.9083116096,3.559316578,1.24382672094999,0.919707332,1.8682448217,,3.9651667054,,2.9793718108214273,1.6078271945399647,Tdrd9,7
110,,,,2.4725151876,2.5110186125,1.6440974853,,0.8285224556,0.7169310254,,1.6250882603,0.3360827114,1.4477508197285711,0.8567407534285604,Abca4,7
111,,,-0.8563538073,-1.496895799,,-1.8000444483,-0.91035234296667,,-1.5031169058,-0.4036160774,,-0.2659413177,-1.0337600997809528,0.585279395979002,Ebi3,7
112,2.4741684366,,,1.7523951841,3.1940623244,2.4928115995,1.302897346625,,1.7420037973,,2.3513811706,,2.1871028370178576,0.6305715045283967,Tmem47,7
113,-3.0410171156,,-0.4908951667,,-0.6863547859,-0.9289088616,-0.684583071616668,,-0.7188905753,,-1.069109062,,-1.0885369483880953,0.8809824760795694,Cd37,7
114,,0.7674430375,1.1080244724,2.3037493594,1.4990898416,,,,1.4220217427,0.3255135227,1.1715414654,,1.2281976345285714,0.620825633123798,Dhrs3,7
115,,,,2.0186626881,2.9137587183,1.824222656,,1.2024676001,1.6462690766,0.3873914748,2.6725618257,,1.8093334342285712,0.8588513599312828,Dnm3,7
116,4.1151932965,0.6818649731,0.5733065936,1.7211111933,,1.9664474668,,,1.7955118414,1.1539389066,,,1.7153391816142858,1.1913783163249596,Aldh1a1,7
117,1.0372164174,,0.3557995898,2.0329205419,1.2673150267,,,,1.0104041588,1.6264727439,0.7538406967,,1.1548527393142858,0.5537864437162963,Plek,7
121,6.7211267021,,,3.5966094884,3.9106670363,3.8678705781,,0.9645754701,1.3963292557,,2.000249965,,3.208204070814286,1.9662151063174207,Wwtr1,7
127,,,,3.3213416222,1.8860884016,2.3595337011,,2.5842506327,2.0128704187,,3.3689378746,,2.5888371084833337,0.636131201730427,Ramp2,6
128,1.41298487,0.574496069,,1.0727891769,1.0918935491,,,0.8979035646,,,0.882167166,,0.9887057326,0.2788891115904617,Plscr1,6
132,4.8634632284,0.3821540255,0.4650856756,2.0870139036,,2.1199708574,,,,1.3590726067,,,1.8794600495333331,1.6442860038587819,Sdpr,6
150,,,,-1.5965210149,-1.5191191968,-1.3677652141,-1.37377948323334,,-0.7217341768,,-1.7758288207,,-1.3924579844222233,0.3620737567571575,Cd86,6
151,,0.4804626594,,1.7941145718,1.752087647,2.4730479592,,,0.9266096048,,1.5039231082,,1.4883742584000001,0.7020414904797523,Cpne8,6
155,3.7880321143,1.1257416267,1.7159414442,2.8481873983,,2.0188866987,,,,1.4446321878,,,2.1569035783333335,0.9922273315792272,Sult1a1,6
156,,,,2.5594536961,4.4815150392,1.6885745181,,0.9058056806,1.4058185673,,3.9120618922,,2.492204898916667,1.4367039115073834,Rorb,6
157,,0.7508887213,0.6272327124,1.1856621367,0.9418230142,,,,,0.8597698548,0.7812573427,,0.8577722970166667,0.19235768626752592,Tgm2,6
162,,,,1.4018023035,3.110521426,1.6921345921,,0.7696777559,1.6867433334,,1.0189502288,,1.6133049399500001,0.8201173368915146,Fhdc1,6
164,2.9741973445,0.7110352924,0.7457582681,2.2604275388,,2.1004967086,,,1.6302952059,,,,1.7370350597166666,0.892559597201755,Ehd3,6
168,,0.2764266071,,1.5048442237,2.0081761312,2.8980446611,,,1.6148852799,,1.7706791745,,1.678842679583333,0.8490565102359335,Pgr,6
172,1.5731291411,,0.3735777066,1.5539326573,1.1182462331,,,,1.2292780296,,0.7397055312,,1.0979782164833332,0.46998483005857133,Tacstd2,6
173,,,,1.720948635,2.1920303954,1.2016643764,,1.2976427447,1.5684858493,,2.005525943,,1.6643829906333334,0.38879124359744116,Phf11d,6
174,,,,1.1819939142,0.8426098915,1.0648223072,0.622744064366664,,0.9218875552,,1.1475761997,,0.9636056553611105,0.2118255897483378,Prcp,6
178,-1.3371577624,,,,-1.378937256,-2.0806206168,-0.948882525750002,,,-0.4835062938,-1.1369586357,,-1.227677181741667,0.5295516473924607,Satb1,6
180,,0.6779697711,1.2350468192,1.3080026208,0.8271837356,0.840102205,,,,,0.9910703888,,0.9798959234166666,0.24775130701277726,Prtn3,6
181,2.6954116145,,,3.9895684163,3.3005684339,2.815496319,,,1.3889313724,,2.0120861374,,2.700343715583333,0.9196907433361957,Fap,6
182,,0.5650224664,0.3649052105,1.1175287077,2.0069121089,1.4008780843,,,,,1.6463435548,,1.1835983554333334,0.6318938093012871,Rorc,6
183,,,,2.6828425645,2.9691421071,2.9253242712,,0.8857012089,1.2309814252,,1.3982957408,,2.0153812196166667,0.9439719579300399,Adgrg2,6
184,5.2129897646,,1.3624890122,2.8493256665,,3.5359716692,,,1.9332861995,0.9419754217,,,2.6393396222833334,1.5799760990019103,Clu,6
248,,0.4436402796,,,9.2148821699,2.2467317957,,1.0492016712,1.0158998486,,2.7551222234,,2.7875796647333337,3.2636987194387888,Matn4,6
249,,,0.4620932923,2.6754834764,2.2859967583,2.2606221485,,,,0.4134458813,1.1979369801,,1.5492630894833332,0.991224445114963,Gadd45g,6
250,,,0.2681080539,1.2010369343,0.9993987295,1.2555830555,,,1.0168193738,,1.1255624837,,0.97775143845,0.3617965083317942,Pros1,6
251,,,,3.694586857,8.9170089321,4.5586009437,,1.6683466107,1.9726565009,,3.5472083216,,4.059734694333334,2.6196423089243983,Osmr,6
252,,,,3.3054022058,4.9339892832,3.5225042036,,1.2973914073,1.0046792564,,2.7314656755,,2.799238671966666,1.4708539428392189,Tmem215,6
254,1.6112084366,,0.5907907925,0.5998885412,1.4519566789,0.9493140434,,,,,1.0213190245,,1.0374129195166668,0.42426575521969745,Efna1,6
255,,,,1.7842219602,2.8666742788,1.6850867153,,,1.1951184841,,1.2774473329,,1.76170975426,0.6676189501075129,B3galt1,5
259,,,0.4278308161,1.2997258534,,1.2294087157,,,1.0701596498,,1.0431059477,,1.01404619654,0.344831677069134,Trim47,5
260,,,,3.1912317202,4.8749421765,1.7187936098,,,1.3045755932,,2.3785493296,,2.6936184858600005,1.412868026763175,Muc1,5
261,2.6370114229,,,,0.618559649,,,0.8879411032,0.9411879794,,0.5193191691,,1.12080386472,0.8659395739215076,Stom,5
262,,0.5027467261,,2.7006531571,,2.5009689776,,,1.5837487917,0.4468749715,,,1.5469985248,1.065723095974455,Jam2,5
266,,,,1.0327150692,1.2750823624,1.1354208664,,,1.1613916587,,0.8965190564,,1.10022580262,0.14283636489443094,Casp12,5
270,,0.2945843792,,,1.6231545928,,,1.3385197765,,0.5820757983,1.7213170532,,1.1119303200000001,0.6389142021048669,Cyp26b1,5
271,2.8773810273,,,1.6117223067,1.3668136896,1.7862786084,,,,,1.7083910029,,1.8701173269799998,0.5847749640933134,Perp,5
272,,,,1.0153352757,0.6519970779,1.0537088067,,,0.8453969943,,0.8895301382,,0.89119365856,0.15901055030867264,Serpinb6a,5
273,,,,1.9939239544,0.9304632933,1.4927344578,,,0.5618404843,,0.6892704857,,1.1336465351,0.5989025457340013,Dennd5b,5
274,,,,1.3229887576,0.8107649811,1.0356471153,,,0.7097074236,,1.0437029266,,0.9845622408400001,0.23790252752452545,Arhgap29,5
275,,,-0.6401451153,,,,-0.740462988583333,-1.0975122458,-0.9279874724,,-0.8594924718,,-0.8531200587766665,0.17565820530355977,Cd34,5
276,-2.0378937913,,-0.6089664108,-0.6998799995,,,-0.687330570700004,,,,-0.4719067505,,-0.9011955045600007,0.6418792361481116,Mcm7,5
278,,,,-1.38284727,-0.5031177562,-1.005211433,,,-0.6970406304,,-1.0573503963,,-0.92911349718,0.34038218283204696,Arhgap30,5
279,-3.458437128,,,,-1.5871926163,-1.7826795991,,,-0.7106074313,,-1.5272331478,,-1.8132299845,1.0070133375881862,Mmp2,5
283,,,,1.769828223,1.2311262629,1.3562080963,,,1.607073666,,1.6727368298,,1.5273946156,0.22545893500802017,Sfrp1,5
