"","ID","LogFC_x_Cha","LogFC_x_Man","LogFC_x_Kow","LogFC_x_Nor","LogFC_x_Mar","LogFC_x_Wah","LogFC_x_Fla","LogFC_x_Laz","LogFC_x_Ber","LogFC_x_Gro","LogFC_x_Sun","LogFC_x_Kir","Mean","Stdev","Gene","Counts"
"56",249,NA,NA,0.4620932923,2.6754834764,2.2859967583,2.2606221485,NA,NA,NA,0.4134458813,1.1979369801,NA,1.54926308948333,0.991224445114963,"Gadd45g",6
"91",328,1.527469005,NA,0.4998557354,NA,0.9125764879,NA,NA,NA,0.4761904615,NA,0.6946051887,NA,0.8221393757,0.431706243331759,"Tsc22d1",5
"119",414,1.7804019404,NA,NA,0.9603834787,1.4993421948,1.2543653208,NA,NA,NA,NA,0.843667042,NA,1.26763199534,0.384365246341955,"Thbd",5
"140",450,2.6578217048,NA,1.0001537665,NA,NA,NA,NA,NA,1.0618055084,NA,NA,1.3800753961,1.52496409395,0.773369436598122,"Zfp36",4
"181",503,-0.1919015578,NA,NA,1.0900241282,0.6309854634,NA,NA,NA,NA,NA,0.5902486383,NA,0.529839168025,0.531851088835856,"Cd55",4
"305",659,2.8874012061,NA,NA,NA,1.0998280089,NA,NA,NA,NA,NA,1.1693720976,NA,1.7188671042,1.01257743187655,"Bhlhe40",3
"333",692,NA,NA,NA,NA,0.8928423913,NA,NA,0.8352286823,NA,NA,1.0179619039,NA,0.915344325833333,0.0934216803658845,"Fosl2",3
"385",760,NA,NA,NA,NA,-1.2019546697,-1.0167884642,NA,NA,NA,NA,-0.8291059564,NA,-1.01594969676667,0.186425771824798,"Phlda2",3
"411",788,NA,NA,-0.2669790237,-1.1932456817,NA,NA,NA,NA,NA,NA,-0.80117997,NA,-0.753801558466667,0.464947325877017,"Timeless",3
"459",857,1.3526591144,NA,0.5876739313,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97016652285,0.540926210477243,"Klf10",2
"503",903,0.2576166488,NA,NA,NA,0.5128890114,NA,NA,NA,NA,NA,NA,NA,0.3852528301,0.180504818643971,"Slc2a3",2
"508",908,2.3040390921,NA,NA,0.9614244546,NA,NA,NA,NA,NA,NA,NA,NA,1.63273177335,0.949371914696568,"Ifrd1",2
"549",956,0.615136115,NA,NA,NA,-1.2732611433,NA,NA,NA,NA,NA,NA,NA,-0.32906251415,1.33529850691801,"Efhd2",2
"564",971,1.7596378883,NA,NA,-1.4006043483,NA,NA,NA,NA,NA,NA,NA,NA,0.17951677,2.234628715692,"Gna13",2
"574",982,2.1310325608,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4193525001,NA,1.27519253045,1.21034057814277,"Prkca",2
"581",989,NA,NA,NA,NA,1.3418843437,NA,NA,NA,NA,NA,0.9187045147,NA,1.1302944292,0.299233326747264,"Kif5a",2
"648",1067,1.29219655,NA,NA,NA,-0.4364233473,NA,NA,NA,NA,NA,NA,NA,0.42788660135,1.22231885147482,"Marcksl1",2
"736",1170,-2.6596890065,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4622967369,NA,-1.5609928717,1.55379097476106,"Mecr",2
"808",1250,-1.52722872,NA,NA,NA,0.3765780538,NA,NA,NA,NA,NA,NA,NA,-0.5753253331,1.34619467982286,"Zfp207",2
"827",1271,1.1242168616,NA,-0.3465452082,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3888358267,1.03998583306754,"Ywhaz",2
"831",1278,NA,NA,NA,NA,1.9818277809,NA,NA,NA,NA,NA,1.6554933653,NA,1.8186605731,0.230753278205309,"Socs3",2
"1091",1559,NA,NA,NA,NA,0.3875114742,NA,NA,NA,NA,NA,0.747049958,NA,0.5672807161,0.25423209999251,"Cdc42",2
"1116",1587,NA,NA,NA,1.0605823939,NA,NA,NA,NA,NA,NA,0.5284004761,NA,0.794491435,0.376309442901242,"Crebl2",2
