,Gene,Counts,LogFC_Cha,Adj.P.Val_Cha,LogFC_Man,Adj.P.Val_Man,LogFC_Kot,Adj.P.Val_Kot,LogFC_Kow,Adj.P.Val_Kow,LogFC_Her,Adj.P.Val_Her,LogFC_Nor,Adj.P.Val_Nor,LogFC_Ito,Adj.P.Val_Ito,LogFC_Man,Adj.P.Val_Man,LogFC_Red,Adj.P.Val_Red,LogFC_Mar,Adj.P.Val_Mar,LogFC_Wah,Adj.P.Val_Wah,LogFC_Fla,Adj.P.Val_Fla,LogFC_Ali,Adj.P.Val_Ali,LogFC_Laz,Adj.P.Val_Laz,LogFC_YoT,Adj.P.Val_YoT,LogFC_Ber,Adj.P.Val_Ber,LogFC_Gro,Adj.P.Val_Gro,LogFC_Rop,Adj.P.Val_Rop,LogFC_Sun,Adj.P.Val_Sun,LogFC_Deq,Adj.P.Val_Deq,LogFC_Kon,Adj.P.Val_Kon,LogFC_Kir,Adj.P.Val_Kir,LogFC_Men,Adj.P.Val_Men,LogFC_von,Adj.P.Val_von
0,Selp,24,4.7429681654,0.0118346131,1.0756210292,1.0138465477459499e-11,2.76830327042163,1.3815115288153199e-71,0.9934946774,6.80937899119012e-25,0.527555894066001,0.0,2.9986229122,0.0019019739,3.54770884446055,4.1393685679970696e-135,3.23815970831211,6.175492057576119e-11,2.01532303295042,2.43608052558124e-22,4.0901712015,1.50545834225463e-85,3.3337831694,0.0001410253,1.68225646321666,0.0325326691947795,0.516558576678062,1.3076415590555e-193,2.1541820757,1.16798347175903e-14,2.51666684536368,1.77870995693455e-15,3.2736876585,0.0002836486,1.0473936587,5.7804244474636e-09,3.57199815661288,1.07452224288865e-13,2.495543057,1.3045765712235801e-61,2.40105382823508,5.6326054383025094e-204,3.28320369989369,7.19656170541542e-16,0.6174698018,0.0151205855,2.89814514652102,2.82438309956421e-10,3.00229328346502,1.26586633811571e-53
18,Nupr1,23,0.8449945789,0.0266652464,0.7895693049,7.16734207586951e-13,2.56359810960952,4.33199598184673e-62,2.1960100405,3.24928037132545e-26,1.029922140327,0.0,3.023908834,0.0005686108,3.06939612337466,7.62032461728027e-48,3.95949284358726,2.62864797008791e-14,1.93621450755342,2.49290528394916e-23,2.7460077953,3.7955299863574795e-30,3.401097695,0.0001410253,,,0.926623192778453,0.0,1.579603557,4.572833745424261e-09,1.06499392921752,0.0001013930405505,1.5240129539,0.002765425,1.2028295946,1.14485894294838e-11,3.16969762754919,1.81955741042895e-22,1.6424933141,5.0550049834532e-27,2.46694168199097,3.9125757745870694e-114,3.19444900619426,3.02453971922316e-12,0.9233877022,5.45927907029005e-05,4.52027394820301,1.0984668426016099e-48,3.52253356358009,3.89868508115107e-75
22,Mt1,22,5.5764220209,0.0104845511,0.2850472766,0.0002289392,1.68223479515813,2.3867992998657e-27,1.3098157647,1.85754027983009e-28,0.693361157996487,0.0,2.9189320377,0.00500271,3.23860510220826,7.32680932450602e-49,3.82895602530981,5.93274276165416e-14,1.8458894462638,2.1317613790043e-24,3.7129013675,1.7490035388349598e-56,2.713056669,0.0004607708,,,0.716492489107665,3.00336544598914e-228,1.7426641458,2.10758775029501e-09,,,2.3802924819,4.83333501997827e-05,0.774329851,5.04893557148939e-12,2.81594301710348,4.8141485532538205e-23,1.5082730515,7.118292844175469e-18,1.38626787672801,3.53914427079527e-58,3.61647928965064,4.80071225166722e-10,0.5880963502,2.03027073478593e-06,3.46748633738556,4.590178525263691e-09,0.496037441588952,0.0006791766908306
23,Clec1a,21,,,0.8676996916,1.95695667472507e-09,1.37427287459393,7.64678426236982e-13,0.6881832721,2.72887815577574e-18,0.435639188564603,7.55550344892189e-273,3.0840936321,0.0003568728,1.15308432618271,5.3727557237441894e-11,1.50682613929368,0.0004683345979045,1.38669744463248,5.25012012586021e-05,1.9901380097,2.64773287678604e-24,2.1808453043,0.0012899569,1.24548515151666,0.0176490358876255,0.470920189742908,4.25742892365135e-189,0.9693890567,2.97031023638933e-05,1.5787070089467,5.275146351697071e-09,1.9839574767,0.0033645612,1.0042823254,5.01419755437447e-05,,,1.472334955,5.60936682289135e-26,1.43142709752967,2.37423647502597e-90,1.59059975850374,3.47728389332596e-06,,,2.21457766073405,2.27383177666561e-05,2.22024837162243,1.44856923596663e-15
27,Plscr2,21,4.3862251479,0.0214510688,0.5084649113,7.21170904977577e-06,2.30857987956311,5.72966340055559e-20,0.7703929911,4.99358877773294e-22,0.416579664068854,0.0,4.1789856596,0.0003568728,3.98543226082413,4.1710413775511997e-78,3.95124899898971,1.6629378113906002e-16,3.26033895167605,2.16577337685543e-28,5.0401785534,2.11274856713173e-121,4.1244473904,0.0001441584,,,0.392901820213653,1.5953907558859501e-167,1.4685735488,7.27163772975739e-08,1.5839794893703,4.56373731645735e-06,3.5091365035,3.32130939006877e-05,0.9726853205,1.9388569249327902e-09,,,3.0169978702,4.4196807701624696e-69,2.80606990456352,9.45478590728226e-271,5.05846685066942,3.34959301702342e-16,,,6.68557756009939,4.31014855916789e-13,4.05542490921978,7.657583496801839e-28
28,Aldh1a1,19,4.1151932965,0.0206396203,0.6818649731,1.14290100208275e-05,1.38645683753371,7.29787506858977e-17,0.5733065936,3.90300065086993e-06,0.53116572515715,0.0,1.7211111933,0.0018015567,1.83495709868323,6.64266109102732e-45,1.34001315917357,0.0004745032312123,1.14441173798355,4.9004193520302695e-11,,,1.9664474668,0.0012899569,,,0.365759594412793,5.25226022928169e-140,,,1.82955539148008,7.13190955180981e-13,1.7955118414,1.63031200790492e-05,1.1539389066,1.60883603861359e-08,2.98684462781208,1.02307970786421e-06,,,1.12530594217309,1.8158184888053098e-42,2.35006016787539,2.01928616727899e-19,,,2.21675804572135,0.0011160591549606,1.81120402172887,3.00197867921544e-51
29,Gpr183,19,,,0.4866814687,0.0141272939,2.97041110429991,7.26437970515069e-40,0.2901684407,2.16017494718591e-08,,,4.1941053746,0.0002300656,4.84524806350084,1.58674919759591e-57,5.15225658095004,3.5342818807348e-14,3.86797753132851,3.95072127890045e-12,,,3.9158452287,0.0001410253,1.969398928475,0.002625576644988,0.469631992611652,5.7752409929486e-183,,,4.1469921630806,7.57894212905542e-11,1.8049427123,0.0067883408,0.6598183825,3.79773909485797e-06,5.20021964159068,1.1264873580153899e-11,,,3.73356084894188,6.23272448603868e-145,4.79935216131141,2.49980826842641e-05,0.6606287499,0.0005789505,13.0721461997607,2.05501626326326e-65,4.34547599117084,5.58035581717396e-10
33,Enpp5,19,3.1242166676,0.013955513,0.5788828157,0.0334127578,1.54972472188505,2.00216362557365e-24,0.8920841637,1.1640822255128099e-11,0.342187426304043,1.5718320604785298e-179,2.4251415919,0.0025343997,1.04436178993017,2.0855762729017202e-14,,,1.39106966917676,5.84254746333544e-13,1.7128052309,1.13716653423427e-33,,,,,0.274630573224288,1.07327540529481e-58,1.4588786309,2.0077255820250604e-09,,,1.3100872998,0.0015946948,0.7205668662,1.7171990144781e-06,1.52210908297219,1.0881051620778401e-19,1.7654551074,4.44056426662775e-25,1.64701372029427,1.62864374413287e-86,1.96960901238226,2.02659995085819e-07,,,2.61329721099259,6.21115968263536e-22,1.74554504658747,2.31846429857927e-12
34,Gstm2,19,4.4909038524,0.0122078102,,,2.62608900987857,1.8450761083680701e-53,0.4000135468,0.0017137519,0.287608621963375,6.70326486139279e-228,2.5345589875,0.007910223,2.09894129982819,1.33744513349043e-21,3.54843058363856,7.81501862039713e-15,1.88819421949607,3.09920273029175e-13,3.3495958595,1.5734223362745501e-24,2.9698361658,0.000680918,,,,,1.7455580674,2.37771546693247e-06,,,1.972984103,0.0010331494,0.3725925161,0.0015953245,2.32233910069845,1.16528865822848e-06,2.5601997337,9.3036086516915e-56,2.38163757835852,3.05302144207557e-185,2.98727887110327,0.0007205554481466,,,2.13923895879111,1.27110318412109e-06,2.18314608438172,1.62331358747897e-07
35,Sult1a1,18,3.7880321143,0.0082467142,1.1257416267,3.443314498634e-10,1.92385743787655,5.70140647869127e-35,1.7159414442,8.77241964230411e-22,0.720044619823333,0.0,2.8481873983,0.0003568728,1.345302432639,4.91639860312526e-25,2.64711281734394,2.36721335222721e-12,2.49689554597775,1.00519148095232e-35,,,2.0188866987,0.0036687712,,,0.635556235075153,1.5592240675805e-224,,,3.15030072401762,1.10603506421188e-20,,,1.4446321878,1.3507301171372202e-09,2.28049165827787,6.940453959108591e-20,,,2.01060653122049,9.10133974996465e-108,2.11767395366941,7.17199844930728e-06,,,4.72187389604222,8.42524009550778e-46,2.49010342015647,1.8128121086494e-68
